# time [s],current [A],voltage [V],temperature [K],c_p_avg [mol/m^3],c_n_avg [mol/m^3]
0,-300,3.60413822374828,298.15,29252.006443504,22404.961910205
0.2,-300,3.60213092064639,298.246796210331,29265.1811348166,22390.3134331312
0.4,-300,3.60004695317096,298.343960449832,29278.3558261292,22375.6649560574
0.6,-300,3.59791225757699,298.441513955877,29291.5305174418,22361.0164789837
0.8,-300,3.59574508217059,298.539469354562,29304.7052087544,22346.3680019099
1,-300,3.59355862111029,298.637834800701,29317.879900067,22331.7195248361
1.2,-300,3.59136342729839,298.736615938479,29331.0545913795,22317.0710477623
1.4,-300,3.5891660748616,298.835820417506,29344.2292826921,22302.4225706886
1.6,-300,3.58697135593729,298.935428662459,29357.4039740047,22287.7740936148
1.8,-300,3.58478229583847,299.035470638379,29370.5786653173,22273.125616541
2,-300,3.58259941232629,299.135915497964,29383.7533566299,22258.4771394672
2.2,-300,3.58042627794906,299.236787550114,29396.9280479425,22243.8286623935
2.4,-300,3.57826225077717,299.338063208724,29410.1027392551,22229.1801853197
2.6,-300,3.57610697063259,299.439758319959,29423.2774305677,22214.5317082459
2.8,-300,3.57396160451532,299.541883085228,29436.4521218803,22199.8832311721
3,-300,3.57182460296989,299.644376810024,29449.6268131929,22185.2347540983
3.2,-300,3.56969645854934,299.747290089213,29462.8015045055,22170.5862770246
3.4,-300,3.5675766443054,299.850625256793,29475.976195818,22155.9377999508
3.6,-300,3.56546422654002,299.954345111998,29489.1508871306,22141.289322877
3.8,-300,3.56335883181104,300.058448236771,29502.3255784432,22126.6408458032
4,-300,3.56126096741149,300.162979177576,29515.5002697558,22111.9923687295
4.2,-300,3.55916920572932,300.267910525251,29528.6749610684,22097.3438916557
4.4,-300,3.55708331393799,300.373221098312,29541.849652381,22082.6954145819
4.6,-300,3.55500207859923,300.478909820905,29555.0243436936,22068.0469375081
4.8,-300,3.5529270661705,300.58503594085,29568.1990350062,22053.3984604344
5,-300,3.5508568575122,300.69154295683,29581.3737263188,22038.7499833606
5.2,-300,3.54879097471621,300.798425133251,29594.5484176314,22024.1015062868
5.4,-300,3.54672892910688,300.905691590301,29607.723108944,22009.453029213
5.6,-300,3.54467169499447,301.013386432357,29620.8978002565,21994.8045521393
5.8,-300,3.54261754897925,301.121454083128,29634.0724915691,21980.1560750655
6,-300,3.54056659882479,301.229893941425,29647.2471828817,21965.5075979917
6.2,-300,3.53851936864169,301.338729974266,29660.4218741943,21950.8591209179
6.4,-300,3.53647503388787,301.447976886347,29673.5965655069,21936.2106438441
6.6,-300,3.53443317449298,301.557594397145,29686.7712568195,21921.5621667704
6.8,-300,3.53239287838844,301.667582123994,29699.9459481321,21906.9136896966
7,-300,3.53035578024438,301.777978735137,29713.1206394447,21892.2652126228
7.2,-300,3.52832015843222,301.888769831242,29726.2953307573,21877.616735549
7.4,-300,3.52628756285382,301.999930101464,29739.4700220699,21862.9682584753
7.6,-300,3.52425560570808,302.111459304331,29752.6447133825,21848.3197814015
7.8,-300,3.522225463613,302.223410747302,29765.819404695,21833.6713043277
8,-300,3.52019710433009,302.335741085269,29778.9940960076,21819.0228272539
8.2,-300,3.51817004612902,302.448439815764,29792.1687873202,21804.3743501802
8.4,-300,3.51614405527195,302.561511042206,29805.3434786328,21789.7258731064
8.6,-300,3.5141182990812,302.67501006152,29818.5181699454,21775.0773960326
8.8,-300,3.51209374817387,302.788877247841,29831.692861258,21760.4289189588
9,-300,3.5100698387238,302.903112588846,29844.8675525706,21745.7804418851
9.2,-300,3.50804595649151,303.017734882794,29858.0422438832,21731.1319648113
9.4,-300,3.50602308434886,303.132770402448,29871.2169351958,21716.4834877375
9.6,-300,3.5039995114696,303.24817422281,29884.3916265084,21701.8350106637
9.8,-300,3.5019769321736,303.363946427832,29897.566317821,21687.18653359
10,-300,3.49995446859087,303.480120502171,29910.7410091335,21672.5380565162
10.2,-300,3.49793146486682,303.596693701174,29923.9157004461,21657.8895794424
10.4,-300,3.49590881242593,303.713635715609,29937.0903917587,21643.2411023686
10.6,-300,3.49388590273075,303.830946720146,29950.2650830713,21628.5926252948
10.8,-300,3.49186140155289,303.948675050217,29963.4397743839,21613.9441482211
11,-300,3.48983713786842,304.066788836243,29976.6144656965,21599.2956711473
11.2,-300,3.48781233434228,304.18527237621,29989.7891570091,21584.6471940735
11.4,-300,3.48578698755908,304.304125884021,30002.9638483217,21569.9987169997
11.6,-300,3.48376094116893,304.423412463561,30016.1385396343,21555.350239926
11.8,-300,3.48173400406199,304.543134548894,30029.3132309469,21540.7017628522
12,-300,3.47970646928952,304.663125740565,30042.4879222595,21526.0532857784
12.2,-300,3.47767760296322,304.783628866444,30055.6626135721,21511.4048087046
12.4,-300,3.47564802482859,304.904389528944,30068.8373048846,21496.7563316309
12.6,-300,3.47361712844938,305.025609410361,30082.0119961972,21482.1078545571
12.8,-300,3.47158490699405,305.147243268877,30095.1866875098,21467.4593774833
13,-300,3.46955185822484,305.269135345981,30108.3613788224,21452.8109004095
13.2,-300,3.46751700730429,305.391587972035,30121.536070135,21438.1624233358
13.4,-300,3.46548102598585,305.514356088729,30134.7107614476,21423.513946262
13.6,-300,3.46344396075193,305.637426722963,30147.8854527602,21408.8654691882
13.8,-300,3.46140473938689,305.761072934831,30161.0601440728,21394.2169921144
14,-300,3.45936440682312,305.884979071098,30174.2348353854,21379.5685150406
14.2,-300,3.45732230416121,306.009289190262,30187.409526698,21364.9200379669
14.4,-300,3.45527839394252,306.134076649776,30200.5842180106,21350.2715608931
14.6,-300,3.45323327339812,306.259124895582,30213.7589093232,21335.6230838193
14.8,-300,3.45118526690042,306.38467954856,30226.9336006357,21320.9746067455
15,-300,3.44913651027961,306.510612622082,30240.1082919483,21306.3261296718
15.2,-300,3.44708714802502,306.636807383249,30253.2829832609,21291.677652598
15.4,-300,3.44503323247445,306.76361194671,30266.4576745735,21277.0291755242
15.6,-300,3.44297774264274,306.8906952243,30279.6323658861,21262.3806984504
15.8,-300,3.44092028511813,307.018126866481,30292.8070571987,21247.7322213767
16,-300,3.43886086948441,307.146101318253,30305.9817485113,21233.0837443029
16.2,-300,3.43679979030462,307.274339652051,30319.1564398239,21218.4352672291
16.4,-300,3.4347352755737,307.403029919591,30332.3311311365,21203.7867901553
16.6,-300,3.43266917802232,307.532163530696,30345.5058224491,21189.1383130816
16.8,-300,3.43060200071779,307.661562084943,30358.6805137616,21174.4898360078
17,-300,3.42853186395674,307.791517255874,30371.8552050742,21159.841358934
17.2,-300,3.42645883152322,307.92181538227,30385.0298963868,21145.1928818602
17.4,-300,3.42438333395522,308.052405472398,30398.2045876994,21130.5444047865
17.6,-300,3.42230435582296,308.183606312826,30411.379279012,21115.8959277127
17.8,-300,3.42022359310907,308.315074682372,30424.5539703246,21101.2474506389
18,-300,3.41814014183822,308.446939896192,30437.7286616372,21086.5989735651
18.2,-300,3.41605403539335,308.579315792764,30450.9033529498,21071.9504964913
18.4,-300,3.41396604117442,308.711960488728,30464.0780442624,21057.3020194176
18.6,-300,3.41187365944383,308.84510826403,30477.252735575,21042.6535423438
18.8,-300,3.40977774879229,308.978665720148,30490.4274268876,21028.00506527
19,-300,3.40767961129656,309.112493344785,30503.6021182001,21013.3565881962
19.2,-300,3.40557793650885,309.246931824355,30516.7768095127,20998.7081111225
19.4,-300,3.40347338657469,309.381677841877,30529.9515008253,20984.0596340487
19.6,-300,3.40136564767027,309.516764965289,30543.1261921379,20969.4111569749
19.8,-300,3.39925187790251,309.652433645451,30556.3008834505,20954.7626799011
20,-300,3.39713611884823,309.78837598225,30569.4755747631,20940.1142028274
20.2,-300,3.39501756747827,309.924767690107,30582.6502660757,20925.4657257536
20.4,-300,3.39289320137325,310.061639434437,30595.8249573883,20910.8172486798
20.6,-300,3.39076587002099,310.198786643256,30608.9996487009,20896.168771606
20.8,-300,3.38863385259024,310.336493577474,30622.1743400135,20881.5202945322
21,-300,3.38649775088477,310.474558845149,30635.3490313261,20866.8718174585
21.2,-300,3.38435736699663,310.612982650237,30648.5237226386,20852.2233403847
21.4,-300,3.38221002934253,310.751917004033,30661.6984139512,20837.5748633109
21.6,-300,3.38005904236647,310.891286894089,30674.8731052638,20822.9263862371
21.8,-300,3.37790360875109,311.031004829593,30688.0477965764,20808.2779091634
22,-300,3.37574109177673,311.171144972923,30701.222487889,20793.6294320896
22.2,-300,3.37357306028143,311.311819099116,30714.3971792016,20778.9809550158
22.4,-300,3.3713995718619,311.45284563824,30727.5718705142,20764.332477942
22.6,-300,3.36922022324691,311.594225152028,30740.7465618268,20749.6840008683
22.8,-300,3.367033386882,311.73619932743,30753.9212531394,20735.0355237945
23,-300,3.36483958975496,311.878551474454,30767.095944452,20720.3870467207
23.2,-300,3.36263963533553,312.021261893396,30780.2706357646,20705.7385696469
23.4,-300,3.3604322581053,312.164478989071,30793.4453270771,20691.0900925732
23.6,-300,3.35821504371546,312.308176886934,30806.6200183897,20676.4416154994
23.8,-300,3.35599123537433,312.452239452305,30819.7947097023,20661.7931384256
24,-300,3.35376056158697,312.596719091389,30832.9694010149,20647.1446613518
24.2,-300,3.35151629493278,312.741786859866,30846.1440923275,20632.4961842781
24.4,-300,3.34926503966089,312.887227006859,30859.3187836401,20617.8477072043
24.6,-300,3.34700670639695,313.033040540583,30872.4934749527,20603.1992301305
24.8,-300,3.34473328127979,313.179458788588,30885.6681662653,20588.5507530567
25,-300,3.34244978656421,313.326306820414,30898.8428575779,20573.9022759829
25.2,-300,3.34015674117732,313.473537780353,30912.0175488905,20559.2537989092
25.4,-300,3.33784965393088,313.621284495115,30925.1922402031,20544.6053218354
25.6,-300,3.33552917818468,313.769576187368,30938.3669315156,20529.9568447616
25.8,-300,3.33319747348152,313.918261910224,30951.5416228282,20515.3083676878
26,-300,3.33085287034921,314.067370944413,30964.7163141408,20500.6598906141
26.2,-300,3.32848763766179,314.217147254116,30977.8910054534,20486.0114135403
26.4,-300,3.3261084770777,314.367330224902,30991.065696766,20471.3629364665
26.6,-300,3.32371523891012,314.51792144408,31004.2403880786,20456.7144593927
26.8,-300,3.32130017683066,314.669146442152,31017.4150793912,20442.065982319
27,-300,3.31886638246686,314.820873708005,31030.5897707038,20427.4175052452
27.2,-300,3.31641579361392,314.973023262247,31043.7644620164,20412.7690281714
27.4,-300,3.31394224445632,315.125712207884,31056.939153329,20398.1205510976
27.6,-300,3.31144186897955,315.279035110419,31070.1138446416,20383.4720740239
27.8,-300,3.308921385638,315.432795867255,31083.2885359542,20368.8235969501
28,-300,3.3063801372055,315.586996411607,31096.4632272667,20354.1751198763
28.2,-300,3.30380123541531,315.741971792437,31109.6379185793,20339.5266428025
28.4,-300,3.30119784709503,315.897403316109,31122.8126098919,20324.8781657287
28.6,-300,3.29856980136712,316.053293046963,31135.9873012045,20310.229688655
28.8,-300,3.29590489954403,316.209863239779,31149.1619925171,20295.5812115812
29,-300,3.29320372050008,316.367035421169,31162.3366838297,20280.9327345074
29.2,-300,3.29047353566158,316.52468801035,31175.5113751423,20266.2842574336
29.4,-300,3.28770822646312,316.682921407977,31188.6860664549,20251.6357803599
29.6,-300,3.28489222660855,316.841918248082,31201.8607577675,20236.9873032861
29.8,-300,3.28204268695645,317.001422295091,31215.0354490801,20222.3388262123
30,-300,3.27915908774944,317.161437031586,31228.2101403926,20207.6903491385
30.2,-300,3.27621045561297,317.32232201463,31241.3848317052,20193.0418720648
30.4,-300,3.27321777434379,317.483784391428,31254.5595230178,20178.393394991
30.6,-300,3.27018303869531,317.645791456549,31267.7342143304,20163.7449179172
30.8,-300,3.2670871638754,317.808572934119,31280.908905643,20149.0964408434
31,-300,3.26392618544412,317.972122422916,31294.0835969556,20134.4479637697
31.2,-300,3.26071471064244,318.136257545615,31307.2582882682,20119.7994866959
31.4,-300,3.25744500249113,318.301060942867,31320.4329795808,20105.1510096221
31.6,-300,3.25408440750873,318.466851723996,31333.6076708934,20090.5025325483
31.8,-300,3.25066203502129,318.633277776743,31346.782362206,20075.8540554745
32,-300,3.24717667185772,318.800345647183,31359.9570535186,20061.2055784008
32.2,-300,3.2435866073358,318.96846932849,31373.1317448311,20046.557101327
32.4,-300,3.23991013116443,319.137382330112,31386.3064361437,20031.9086242532
32.6,-300,3.23615811086796,319.306984220208,31399.4811274563,20017.2601471795
32.8,-300,3.23230642652912,319.477492718028,31412.6558187689,20002.6116701057
33,-300,3.22832616031421,319.649121061917,31425.8305100815,19987.9631930319
33.2,-300,3.22424014589041,319.821626491964,31439.0052013941,19973.3147159581
33.4,-300,3.22004332222665,319.995032706228,31452.1798927067,19958.6662388843
33.6,-300,3.21573037513677,320.169364123219,31465.3545840193,19944.0177618106
33.8,-300,3.21126378096858,320.344878841726,31478.5292753319,19929.3692847368
34,-300,3.20663954507158,320.521560423359,31491.7039666445,19914.720807663
34.2,-300,3.201869641343,320.699288444877,31504.8786579571,19900.0723305892
34.4,-300,3.1969460646894,320.878095409569,31518.0533492697,19885.4238535155
34.6,-300,3.1918586282751,321.058027584159,31531.2280405822,19870.7753764417
34.8,-300,3.18652647504125,321.239576821781,31544.4027318948,19856.1268993679
35,-300,3.1810003091887,321.422363941718,31557.5774232074,19841.4784222941
35.2,-300,3.17526787203596,321.60643299392,31570.75211452,19826.8299452204
35.4,-300,3.16931689615924,321.791829484138,31583.9268058326,19812.1814681466
35.6,-300,3.16308922555047,321.978866854575,31597.1014971452,19797.5329910728
35.8,-300,3.15654679443469,322.167690606029,31610.2761884578,19782.884513999
36,-300,3.14972239330883,322.358070888925,31623.4508797704,19768.2360369252
36.2,-300,3.14259776075908,322.550071102268,31636.625571083,19753.5875598515
36.4,-300,3.1351535652303,322.743756952356,31649.8002623956,19738.9390827777
36.6,-300,3.12723140726966,322.939872445772,31662.9749537082,19724.2906057039
36.8,-300,3.11889847191919,323.13799615578,31676.1496450207,19709.6421286301
37,-300,3.11013972931144,323.338147347977,31689.3243363333,19694.9936515564
37.2,-300,3.10092463475237,323.540420661376,31702.4990276459,19680.3451744826
37.4,-300,3.09114890775104,323.74522983079,31715.6737189585,19665.6966974088
37.6,-300,3.08066803156276,323.953101183588,31728.8484102711,19651.048220335
37.8,-300,3.06956329813467,324.163585812979,31742.0231015837,19636.3997432613
38,-300,3.0577825875954,324.376825735003,31755.1977928963,19621.7512661875
38.2,-300,3.04527072676888,324.592969681588,31768.3724842089,19607.1027891137
38.4,-300,3.03168929344494,324.813208688917,31781.5471755215,19592.4543120399
38.6,-300,3.01707472235152,325.037224009902,31794.7218668341,19577.8058349662
38.8,-300,3.00145487600664,325.264810967701,31807.8965581467,19563.1573578924
39,-300,2.98457506153727,325.496735347862,31821.0712494593,19548.5088808186
39.2,-300,2.96632306028904,325.733209727873,31834.2459407718,19533.8604037448
39.4,-300,2.94654008157004,325.974592158711,31847.4206320844,19519.211926671
39.6,-300,2.92486474978675,326.221800969924,31860.595323397,19504.5634495973
39.8,-300,2.90107315348496,326.475270855164,31873.7700147096,19489.9149725235
40,-300,2.87488384578324,326.735525844137,31886.9447060222,19475.2664954497
40.2,-300,2.84596515651686,327.003207841354,31900.1193973348,19460.6180183759
40.4,-300,2.81406431900745,327.278710402156,31913.2940886474,19445.9695413022
40.6,-300,2.77843789775181,327.563602521151,31926.46877996,19431.3210642284
40.8,-300,2.73843060118635,327.859049906019,31939.6434712726,19416.6725871546
41,-300,2.6936093274077,328.16570401696,31952.8181625852,19402.0241100808
41.2,-300,2.64300726220851,328.485300729217,31965.9928538978,19387.3756330071
41.4,-300,2.58552616203437,328.819756426373,31979.1675452103,19372.7271559333
41.6,-300,2.52021345690863,329.170650802938,31992.3422365229,19358.0786788595
